Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr arêtes,Nbr vertices ,Average weights,Variances of weights ,SD of weights, Nbr Edgess,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,973,9258,10231,49.330,7176.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 4 6 7 8 9 15 16 19 34 37 39 46 48 51 55 66 70 75 99 }	{1 12 21 27 32 57 58 74 76 78 84 87 89 }	{2 }	{3 }	{5 }	{10 }	{11 }	{13 }	{14 }	{17 }	{18 }	{20 }	{22 }	{23 }	{24 }	{25 }	{26 }	{28 }	{29 }	{30 }	{31 33 41 42 43 44 }	{35 }	{36 }	{38 47 }	{40 }	{45 56 }	{49 79 }	{50 }	{52 }	{53 }	{54 }	{59 }	{60 }	{61 }	{62 }	{63 }	{64 }	{65 }	{67 }	{68 }	{69 }	{71 93 }	{72 }	{73 }	{77 95 }	{80 81 }	{82 }	{83 85 }	{86 }	{88 }	{90 }	{91 }	{92 }	{94 }	{96 }	{97 }	{98 }	
2,969,9262,10231,46.493,7094.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 8 19 28 33 35 39 42 44 46 48 49 55 57 68 85 86 88 89 99 }	{1 }	{2 }	{3 }	{4 }	{5 }	{6 }	{7 }	{9 }	{10 }	{11 }	{12 17 80 }	{13 }	{14 18 }	{15 }	{16 }	{20 40 }	{21 }	{22 }	{23 }	{24 }	{25 }	{26 }	{27 }	{29 }	{30 }	{31 }	{32 41 52 61 62 65 67 84 92 }	{34 }	{36 }	{37 }	{38 }	{43 }	{45 }	{47 }	{50 }	{51 }	{53 }	{54 }	{56 }	{58 78 }	{59 }	{60 }	{63 }	{64 94 }	{66 }	{69 }	{70 90 }	{71 }	{72 }	{73 }	{74 }	{75 }	{76 }	{77 }	{79 }	{81 }	{82 }	{83 }	{87 }	{91 96 }	{93 }	{95 }	{97 }	{98 }	
3,792,9439,10231,47.015,7199.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 77 88 }	{1 11 12 17 39 }	{2 }	{3 23 45 67 }	{4 10 13 19 22 33 40 43 44 48 49 53 59 64 65 69 83 87 93 99 }	{5 }	{6 }	{7 }	{8 58 78 }	{9 }	{14 }	{15 }	{16 }	{18 }	{20 }	{21 }	{24 }	{25 }	{26 }	{27 }	{28 }	{29 }	{30 }	{31 }	{32 }	{34 89 98 }	{35 }	{36 }	{37 }	{38 }	{41 }	{42 }	{46 }	{47 }	{50 }	{51 }	{52 }	{54 }	{55 }	{56 }	{57 }	{60 }	{61 72 94 }	{62 }	{63 }	{66 84 }	{68 }	{70 }	{71 }	{73 95 }	{74 }	{75 }	{76 }	{79 }	{80 }	{81 }	{82 }	{85 }	{86 }	{90 }	{91 }	{92 }	{96 }	{97 }	
4,1309,8922,10231,50.542,7922.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 }	{1 5 11 17 23 33 35 41 44 45 55 57 58 65 68 75 77 78 87 88 }	{2 13 16 25 30 31 36 43 52 53 61 62 63 70 71 72 73 74 76 96 }	{3 }	{4 }	{6 }	{7 }	{8 }	{9 }	{10 }	{12 }	{14 }	{15 }	{18 }	{19 37 82 }	{20 }	{21 }	{22 }	{24 }	{26 46 80 86 }	{27 }	{28 }	{29 }	{32 }	{34 }	{38 }	{39 }	{40 }	{42 }	{47 }	{48 }	{49 }	{50 }	{51 }	{54 }	{56 89 }	{59 }	{60 }	{64 }	{66 }	{67 }	{69 }	{79 }	{81 }	{83 93 }	{84 }	{85 95 }	{90 }	{91 }	{92 }	{94 }	{97 }	{98 }	{99 }	
5,839,9392,10231,57.796,8305.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 }	{1 6 8 12 17 18 31 34 36 40 56 58 67 72 76 78 85 86 94 95 }	{2 }	{3 }	{4 }	{5 55 }	{7 }	{9 }	{10 20 }	{11 14 19 99 }	{13 53 54 }	{15 }	{16 }	{21 }	{22 42 49 51 61 62 }	{23 }	{24 46 }	{25 }	{26 }	{27 38 }	{28 }	{29 }	{30 }	{32 }	{33 64 73 83 93 }	{35 }	{37 }	{39 }	{41 }	{43 }	{44 }	{45 }	{47 77 87 }	{48 }	{50 }	{52 92 }	{57 }	{59 }	{60 }	{63 }	{65 }	{66 }	{68 }	{69 96 98 }	{70 }	{71 }	{74 }	{75 }	{79 }	{80 89 }	{81 }	{82 }	{84 }	{88 }	{90 }	{91 }	{97 }	
6,1043,9188,10231,51.630,7926.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 2 7 77 }	{1 45 75 85 }	{3 4 }	{5 41 }	{6 31 33 36 39 }	{8 }	{9 }	{10 18 21 23 43 46 47 48 54 56 58 65 66 67 69 76 78 87 90 98 }	{11 }	{12 32 }	{13 }	{14 15 50 60 }	{16 61 62 80 82 }	{17 35 }	{19 }	{20 30 }	{22 }	{24 }	{25 }	{26 }	{27 }	{28 68 }	{29 89 }	{34 37 38 }	{40 }	{42 }	{44 }	{49 }	{51 }	{52 }	{53 }	{55 }	{57 }	{59 }	{63 }	{64 }	{70 }	{71 }	{72 }	{73 }	{74 }	{79 }	{81 }	{83 }	{84 }	{86 }	{88 }	{91 }	{92 }	{93 }	{94 }	{95 }	{96 }	{97 }	{99 }	
7,968,9263,10231,46.660,7474.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 11 36 40 60 66 90 }	{1 8 12 17 19 28 37 38 47 56 57 58 65 78 87 88 89 92 97 98 }	{2 }	{3 }	{4 24 }	{5 }	{6 }	{7 }	{9 }	{10 }	{13 }	{14 }	{15 }	{16 }	{18 }	{20 }	{21 }	{22 }	{23 }	{25 }	{26 76 }	{27 81 }	{29 }	{30 }	{31 }	{32 }	{33 35 39 }	{34 }	{41 }	{42 }	{43 }	{44 }	{45 }	{46 }	{48 }	{49 }	{50 }	{51 61 }	{52 59 }	{53 }	{54 }	{55 }	{62 67 }	{63 }	{64 }	{68 }	{69 }	{70 }	{71 }	{72 }	{73 }	{74 }	{75 86 }	{77 }	{79 }	{80 }	{82 }	{83 }	{84 }	{85 94 95 96 99 }	{91 }	{93 }	
8,937,9294,10231,50.587,6569.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 }	{1 5 12 16 18 21 25 34 38 43 45 52 56 58 61 63 72 78 85 88 }	{2 }	{3 }	{4 7 }	{6 46 57 91 }	{8 }	{9 }	{10 }	{11 }	{13 }	{14 }	{15 }	{17 62 67 92 95 }	{19 }	{20 }	{22 }	{23 }	{24 74 }	{26 }	{27 }	{28 }	{29 }	{30 }	{31 }	{32 }	{33 }	{35 }	{36 }	{37 }	{39 }	{40 }	{41 }	{42 }	{44 }	{47 }	{48 }	{49 }	{50 }	{51 55 73 80 82 83 84 86 89 }	{53 }	{54 98 }	{59 }	{60 }	{64 }	{65 }	{66 }	{68 }	{69 }	{70 71 }	{75 }	{76 }	{77 }	{79 }	{81 }	{87 }	{90 }	{93 }	{94 }	{96 }	{97 }	{99 }	
9,771,9460,10231,51.206,8032.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 90 }	{1 }	{2 46 68 }	{3 }	{4 }	{5 6 9 16 17 28 29 39 49 58 65 74 76 78 79 83 92 94 95 98 }	{7 22 47 51 52 57 }	{8 }	{10 }	{11 44 }	{12 45 }	{13 }	{14 19 84 }	{15 }	{18 }	{20 }	{21 }	{23 }	{24 }	{25 }	{26 }	{27 }	{30 }	{31 36 37 }	{32 }	{33 }	{34 }	{35 }	{38 }	{40 }	{41 }	{42 }	{43 }	{48 }	{50 }	{53 }	{54 }	{55 }	{56 }	{59 }	{60 62 80 82 }	{61 }	{63 }	{64 }	{66 }	{67 }	{69 }	{70 }	{71 }	{72 }	{73 }	{75 }	{77 }	{81 }	{85 }	{86 }	{87 }	{88 }	{89 }	{91 93 }	{96 }	{97 }	{99 }	
10,1075,9156,10231,49.469,7709.000,1367,100,7.48,15.91,3.99,1367,0,0,0,0,{0 4 8 9 17 26 28 29 35 39 40 42 46 48 49 59 60 68 80 }	{1 13 16 18 21 44 53 54 58 64 65 67 78 81 88 92 94 96 98 }	{2 }	{3 }	{5 14 }	{6 }	{7 }	{10 }	{11 }	{12 }	{15 }	{19 }	{20 }	{22 }	{23 }	{24 }	{25 }	{27 }	{30 }	{31 }	{32 }	{33 }	{34 }	{36 }	{37 }	{38 }	{41 }	{43 }	{45 }	{47 }	{50 }	{51 }	{52 }	{55 }	{56 }	{57 }	{61 }	{62 }	{63 }	{66 }	{69 }	{70 }	{71 }	{72 }	{73 }	{74 }	{75 97 }	{76 }	{77 }	{79 }	{82 }	{83 }	{84 }	{85 }	{86 }	{87 }	{89 }	{90 }	{91 }	{93 }	{95 }	{99 }	
